1;Абу-Дабі;Об'єднані Арабські Емірати;Азія
2;Абуджа;Нігерія;Африка
3;Аваруа;Острови Кука (Нова Зеландія);Океанія
4;Адамстаун;Острови Піткерн (Велика Британія);Океанія
5;Аддис-Абеба;Ефіопія;Африка
6;Аккра;Гана;Африка
7;Алжир;Алжир;Африка
8;Алофі;Ніуе (Нова Зеландія);Океанія
9;Амман;Йорданія;Азія
10;Амстердам;Нідерланди;Європа
11;Андорра-ла-Велья;Андорра;Європа
12;Анкара;Туреччина;Азія
13;Антананаріву;Мадагаскар;Африка
14;Апіа;Самоа;Океанія
15;Асмера;Еритрея;Африка
16;Астана;Казахстан;Азія
17;Асунсьйон;Парагвай;Південна Америка
18;Атафу;Токелау (Нова Зеландія);Океанія
19;Афіни;Греція;Європа
20;Ашгабат;Туркменістан;Азія
21;Багдад;Ірак;Азія
22;Баку;Азербайджан;Азія
23;Бамако;Малі;Африка
24;Бангі;Центральноафриканська Республіка;Африка
25;Бангкок;Таїланд;Азія
26;Бандар-Сері-Бегаван;Бруней;Азія
27;Банжул;Гамбія;Африка
28;Бастер;Сент-Кіттс і Невіс;Північна Америка
29;Бейрут;Ліван;Азія
30;Белград;Сербія;Європа
31;Бельмопан;Беліз;Північна Америка
32;Берлін;Німеччина;Європа
33;Берн[1];Швейцарія;Європа
34;Бісау;Гвінея-Бісау;Африка
35;Бішкек;Киргизстан;Азія
36;Богота;Колумбія;Південна Америка
37;Браззавіль;Республіка Конго;Африка
38;Бразиліа;Бразилія;Південна Америка
39;Братислава;Словаччина;Європа
40;Бриджтаун;Барбадос;Північна Америка
41;Брюссель;Бельгія;Європа
42;Будапешт;Угорщина;Європа
43;Буенос-Айрес;Аргентина;Південна Америка
44;Бухарест;Румунія;Європа
45;Вадуц;Ліхтенштейн;Європа
46;Валлетта;Мальта;Європа
47;Валлі;Ангілья (Велика Британія);Північна Америка
48;Варшава;Польща;Європа
49;Ватикан;Ватикан;Європа
50;Вашингтон;Сполучені Штати Америки;Північна Америка
51;Веллінгтон;Нова Зеландія;Океанія
52;Вест-Айленд;Кокосові Острови (Австралія);Азія
53;В'єнтьян;Лаос;Азія
54;Відень;Австрія;Європа
55;Вікторія;Сейшельські Острови;Африка
56;Віллемстад;Кюрасао (Нідерланди);Північна Америка
57;Вільнюс;Литва;Європа
58;Віндгук;Намібія;Африка
59;Габороне;Ботсвана;Африка
60;Гавана;Куба;Північна Америка
61;Гамільтон;Бермудські Острови (Велика Британія);Північна Америка
62;Гватемала;Гватемала;Північна Америка
63;Гельсінкі;Фінляндія;Європа
64;Гібралтар;Гібралтар (Велика Британія);Європа
65;Гітега;Бурунді;Африка
66;Гонконг;Гонконг (Китай);Азія
67;Грозний;Чечня;Азія
68;Густавія;Сен-Бартельмі (Франція);Північна Америка
69;Дакар;Сенегал;Африка
70;Дакка;Бангладеш;Азія
71;Дамаск;Сирія;Азія
72;Джакарта;Індонезія;Азія
73;Джеймстаун;"Острови Святої Єлени, Вознесіння і Трістан-да-Кунья (Велика Британія)";Африка
74;Джибуті;Джибуті;Африка
75;Джорджтаун;Гаяна;Південна Америка
76;Джорджтаун;Кайманові Острови (Велика Британія);Північна Америка
77;Джуба;Південний Судан;Африка
78;Дієго-Гарсія;Британська Територія в Індійському Океані (Велика Британія);Азія
79;Ділі;Східний Тімор;Азія
80;Додома;Танзанія;Африка
81;Доха;Катар;Азія
82;Дублін;Ірландія;Європа
83;Дуглас;Острів Мен (Велика Британія);Європа
84;Душанбе;Таджикистан;Азія
85;Ель-Аюн[2];Західна Сахара[3];Африка
86;Ель-Кувейт;Кувейт;Азія
87;Епіскопі;Акротирі і Декелія (Велика Британія);Азія
88;Ер-Ріяд;Саудівська Аравія;Азія
89;Єреван;Вірменія;Азія
90;Єрусалим[4];Ізраїль;Азія
91;Єрусалим (східний)[5];Палестина;Азія
92;Загреб;Хорватія;Європа
93;Ісламабад;Пакистан;Азія
94;Кабул;Афганістан;Азія
95;Каїр;Єгипет;Африка
96;Кампала;Уганда;Африка
97;Канберра;Австралія;Океанія
98;Каракас;Венесуела;Південна Америка
99;Кастрі;Сент-Люсія;Північна Америка
100;Катманду;Непал;Азія
101;Київ;Україна;Європа
102;Кишинів;Молдова;Європа
103;Кігалі;Руанда;Африка
104;Кінг-Едвард-Пойнт;Південна Джорджія і Південні Сандвічеві Острови (Велика Британія);Південна Америка
105;Кінгстаун;Сент-Вінсент і Гренадини;Північна Америка
106;Кінгстон;Острів Норфолк (Австралія);Океанія
107;Кінгстон;Ямайка;Північна Америка
108;Кіншаса;Демократична Республіка Конго;Африка
109;Кіто;Еквадор;Південна Америка
110;Кокберн-Таун;Острови Теркс і Кайкос (Велика Британія);Північна Америка
111;Конакрі;Гвінея;Африка
112;Копенгаген;Данія;Європа
113;Куала-Лумпур;Малайзія;Азія
114;Лібревіль;Габон;Африка
115;Лілонгве;Малаві;Африка
116;Ліма;Перу;Південна Америка
117;Лісабон;Португалія;Європа
118;Ломе;Того;Африка
119;Лонг'їр;Свальбард (Норвегія);Європа
120;Лондон;Велика Британія;Європа
121;Луанда;Ангола;Африка
122;Лусака;Замбія;Африка
123;Любляна;Словенія;Європа
124;Люксембург;Люксембург;Європа
125;Маджуро;Маршаллові Острови;Океанія
126;Мадрид;Іспанія;Європа
127;Макао;Макао (Китай);Азія
128;Малабо;Екваторіальна Гвінея;Африка
129;Мале;Мальдіви;Азія
130;Манагуа;Нікарагуа;Північна Америка
131;Манама;Бахрейн;Азія
132;Маніла;Філіппіни;Азія
133;Мапуту;Мозамбік;Африка
134;Маріго;Сен-Мартен (Франція);Північна Америка
135;Марієгамн;Аландські Острови (Фінляндія);Європа
136;Масеру;Лесото;Африка
137;Маскат;Оман;Азія
138;Мата-Уту;Волліс і Футуна (Франція);Океанія
139;Мбабане;Есватіні;Африка
140;Мехіко;Мексика;Північна Америка
141;Мінськ;Білорусь;Європа
142;Могадішо;Сомалі;Африка
143;Монако;Монако;Європа
144;Монровія;Ліберія;Африка
145;Монтевідео;Уругвай;Південна Америка
146;Мороні;Коморські Острови;Африка
147;Москва;Росія;Європа
148;Найп'їдо;М'янма;Азія
